LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Product,Branch,ClearDate,CustomerId,Gender,LoanLimit,CreditScore,loan_repayment_txn_count,loan_repayment_total_paid,loan_repayment_first_payment,loan_repayment_last_payment,loan_overpayment,MissedInstalments,Industry,BusinessType,YearEstablished
931731,3000,1000,0.0,2025-11-29,5 weeks credit ease,molo,2025-11-29,1777,male,3600.0,1800,1,300,2025-11-29,2025-11-29,0,5.0,food & hospitality,retail shop,2018
930972,4000,1250,0.0,2025-11-27,5 weeks credit ease,molo,2025-11-28,1776,female,13000.0,1500,1,1550,2025-11-27,2025-11-27,0,4.0,food & hospitality,food kiosks,2016
930832,5000,1500,0.0,2025-11-28,5 weeks credit ease,molo,2025-11-28,1775,female,13000.0,2500,1,1300,2025-11-28,2025-11-28,0,4.0,food & hospitality,green grocery (fruit/vegetables),2020
943742,6000,1750,4650.0,2025-11-15,5 weeks credit ease,molo,2025-12-20,1773,female,13000.0,1500,1,550,2025-11-29,2025-11-29,0,5.0,food & hospitality,green grocery (fruit/vegetables),2019
925550,4000,1250,0.0,2025-11-26,5 weeks credit ease,molo,2025-11-19,1762,female,13000.0,2000,1,2100,2025-11-26,2025-11-26,0,3.0,fashion & beauty products,second hand clothes,2019
922538,5000,1500,0.0,2025-11-13,5 weeks credit ease,engineer,2025-11-13,1757,female,11000.0,2500,1,1300,2025-11-13,2025-11-13,0,4.0,food & hospitality,retail shop,2015
923803,4000,1250,0.0,2025-11-15,5 weeks credit ease,molo,2025-11-17,1721,female,13000.0,2000,1,1050,2025-11-15,2025-11-15,0,4.0,personal services,beauty salon,2019
898359,4000,1250,0.0,2025-10-10,5 weeks credit ease,engineer,2025-04-10,1714,male,4600.0,2500,1,35,2025-10-10,2025-10-10,0,5.0,food & hospitality,green grocery (fruit/vegetables),2018
946758,7000,2000,7200.0,2025-11-20,5 weeks credit ease,molo,2025-12-25,1713,male,11000.0,2000,1,1200,2025-11-27,2025-11-27,0,5.0,food & hospitality,food kiosks,2022
908008,6000,1750,0.0,2025-10-21,5 weeks credit ease,engineer,2025-10-20,1706,female,8000.0,2500,1,6150,2025-10-21,2025-10-21,0,0.0,personal services,green grocery (fruit/vegetables),2018
894621,5000,1500,0.0,2025-09-27,5 weeks credit ease,engineer,2025-09-27,1703,female,8000.0,2000,1,1300,2025-09-27,2025-09-27,0,4.0,transportation,motor bike transportation,2019
929854,7000,2800,5500.0,2025-10-22,7 weeks credit ease,engineer,2025-10-12,1702,female,7000.0,3000,1,1400,2025-11-25,2025-11-25,0,7.0,food & hospitality,bar/ restaurant,2017
890800,5000,1500,0.0,2025-09-22,5 weeks credit ease,molo,2025-09-22,1697,female,10000.0,2000,1,300,2025-09-22,2025-09-22,0,5.0,food & hospitality,retail shop,2020
888357,5000,1500,0.0,2025-09-16,5 weeks credit ease,engineer,2025-09-17,1688,female,8000.0,2500,1,1300,2025-09-16,2025-09-16,0,4.0,food & hospitality,food kiosks,2019
886298,4000,1250,0.0,2025-09-16,5 weeks credit ease,molo,2025-12-09,1683,female,7000.0,2000,1,1060,2025-09-16,2025-09-16,0,4.0,food & hospitality,food kiosks,2023
942249,7000,2800,7000.0,2025-11-13,7 weeks credit ease,engineer,2026-01-01,1675,female,8000.0,2000,1,700,2025-11-25,2025-11-25,0,7.0,general hardware & electronics,building & construction materials,2015
877563,4000,1250,0.0,2025-08-28,5 weeks credit ease,molo,2025-08-27,1663,female,7000.0,2000,1,1870,2025-08-28,2025-08-28,0,3.0,food & hospitality,food kiosks,2023
869723,5000,1500,30.0,2025-11-07,5 weeks credit ease,molo,2025-08-15,1646,female,8000.0,2000,1,100,2025-11-17,2025-11-17,0,5.0,personal services,beauty salon,2016
950963,12000,6500,18500.0,2025-11-27,10 weeks credit ease,engineer,2026-05-02,1628,female,22000.0,2000,1,6605,2025-11-27,2025-11-27,0,5.0,food & hospitality,bar/ restaurant,2019
904803,9000,2500,3840.0,2025-10-09,5 weeks credit ease,molo,2025-10-15,1618,female,9000.0,2500,1,3550,2025-11-12,2025-11-12,0,5.0,personal services,hawking- mobile merchandize services,2019
853466,6000,1750,0.0,2025-09-07,5 weeks credit ease,engineer,2025-07-15,1604,female,6000.0,2500,1,600,2025-09-12,2025-09-12,0,5.0,food & hospitality,retail shop,2023
868580,6000,1750,0.0,2025-08-14,5 weeks credit ease,engineer,2025-08-13,1602,female,6000.0,2500,1,100,2025-08-14,2025-08-14,0,5.0,food & hospitality,retail shop,2020
852335,5000,1500,0.0,2025-06-16,5 weeks credit ease,engineer,2025-12-07,1600,female,6000.0,2000,1,6500,2025-06-16,2025-06-16,0,0.0,food & hospitality,food kiosks,2020
890487,5000,1500,1360.0,2025-08-16,5 weeks credit ease,molo,2025-09-20,1599,male,8000.0,1800,1,900,2025-10-22,2025-10-22,0,5.0,personal services,green grocery (fruit/vegetables),2017
850032,6000,1750,0.0,2025-06-23,5 weeks credit ease,engineer,2025-08-07,1597,male,6000.0,2500,1,4650,2025-06-23,2025-06-23,0,2.0,food & hospitality,meat vendor-butchery,2022
946365,5000,1500,6200.0,2025-11-19,5 weeks credit ease,molo,2025-12-24,1596,male,6000.0,2500,1,120,2025-11-26,2025-11-26,0,5.0,fashion & beauty products,beauty salon,2018
867477,7000,2800,6200.0,2025-08-07,7 weeks credit ease,engineer,2025-08-26,1581,male,7000.0,2000,1,1300,2025-08-04,2025-08-04,0,6.0,fashion & beauty products,tailoring services,2018
875564,5000,1500,0.0,2025-07-29,5 weeks credit ease,molo,2025-08-22,1580,male,7000.0,3000,1,2100,2025-07-29,2025-07-29,0,3.0,automobile services,tailoring services,2018
943873,9000,5000,11200.0,2025-11-15,10 weeks credit ease,engineer,2026-01-24,1576,female,9000.0,2500,1,602,2025-11-28,2025-11-28,0,10.0,food & hospitality,green grocery (fruit/vegetables),2021
842366,6000,1750,7160.0,2025-05-17,5 weeks credit ease,molo,2025-06-21,1574,male,11400.0,1800,1,1550,2025-05-24,2025-05-24,0,5.0,business & information,not defined,2020
876735,5000,1500,1040.0,2025-07-21,5 weeks credit ease,engineer,2025-08-25,1567,male,5000.0,2000,1,1700,2025-11-01,2025-11-01,0,5.0,food & hospitality,green grocery (fruit/vegetables),2012
840380,5000,1500,0.0,2025-06-23,5 weeks credit ease,molo,2025-06-17,1565,male,6000.0,1500,1,1200,2025-06-23,2025-06-23,0,4.0,personal services,beauty salon,2024
943828,10000,2750,7150.0,2025-11-15,5 weeks credit ease,molo,2025-12-20,1564,male,12000.0,2000,1,2500,2025-11-27,2025-11-27,0,5.0,food & hospitality,hawking- mobile merchandize services,2017
910762,5000,1500,0.0,2025-10-24,5 weeks credit ease,molo,2025-10-24,1557,female,11000.0,1800,1,100,2025-11-25,2025-11-25,0,5.0,food & hospitality,food kiosks,2020
867308,9000,2500,3280.0,2025-08-07,5 weeks credit ease,molo,2025-12-08,1534,male,11000.0,2500,1,1160,2025-08-04,2025-08-04,0,5.0,food & hospitality,green grocery (fruit/vegetables),2015
841145,7000,2000,5140.0,2025-05-14,5 weeks credit ease,engineer,2025-06-18,1518,male,7000.0,2000,1,150,2025-06-09,2025-06-09,0,5.0,manufacturing,green grocery (fruit/vegetables),2011
824669,5000,1500,0.0,2025-08-05,5 weeks credit ease,molo,2025-05-15,1512,male,6000.0,2000,1,802,2025-08-12,2025-08-12,0,5.0,agriculture,farming-animal products,2016
912800,10000,3850,13584.0,2025-09-23,7 weeks credit ease,engineer,2025-11-11,1510,male,13000.0,2000,1,1740,2025-09-30,2025-09-30,0,7.0,food & hospitality,green grocery (fruit/vegetables),2023
854682,5000,1500,0.0,2025-07-17,5 weeks credit ease,molo,2025-07-16,1501,male,9000.0,1800,1,1600,2025-07-17,2025-07-17,0,4.0,food & hospitality,green grocery (fruit/vegetables),2017
909354,6000,1750,7720.0,2025-09-17,5 weeks credit ease,molo,2025-10-22,1499,male,9000.0,2500,1,100,2025-09-25,2025-09-25,0,5.0,personal services,taxi & rental services,2011
831510,6000,1750,0.0,2025-05-28,5 weeks credit ease,engineer,2025-05-29,1497,male,8000.0,1800,1,3800,2025-05-28,2025-05-28,0,2.0,food & hospitality,seafood- fish vendor,2019
819128,5000,1500,7500.0,2025-03-26,5 weeks credit ease,molo,2025-04-30,1487,male,6000.0,2500,1,3100,2025-03-26,2025-03-26,0,2.0,food & hospitality,food kiosks,2016
816561,5000,1500,0.0,2025-05-05,5 weeks credit ease,engineer,2025-04-26,1480,male,7000.0,2000,1,1800,2025-05-05,2025-05-05,0,4.0,natural resources/environmental,firewood & charcoal vendor,2019
841208,5000,1500,1240.0,2025-05-14,5 weeks credit ease,engineer,2025-06-18,1479,male,7000.0,2000,1,220,2025-07-25,2025-07-25,0,5.0,food & hospitality,entertainment/party & events planning,2010
882487,5000,1500,0.0,2025-08-21,5 weeks credit ease,molo,2025-05-09,1464,female,12000.0,2500,1,6500,2025-07-10,2025-07-10,0,0.0,food & hospitality,food kiosks,2018
952310,10000,2750,12750.0,2025-11-30,5 weeks credit ease,molo,2026-04-01,1464,female,14000.0,2500,1,320,2025-11-30,2025-11-30,0,5.0,fashion & beauty products,footware shop,2019
831705,5000,1500,4860.0,2025-04-24,5 weeks credit ease,engineer,2025-05-29,1461,male,7000.0,2000,1,520,2025-07-31,2025-07-31,0,5.0,fashion & beauty products,barber shop,2016
904314,8000,2250,0.0,2025-12-10,5 weeks credit ease,molo,2025-10-15,1459,male,14000.0,2800,1,750,2025-11-23,2025-11-23,0,5.0,food & hospitality,retail shop,2012
803905,5000,1500,0.0,2025-02-22,5 weeks credit ease,molo,2025-03-25,1442,male,8000.0,2500,1,6500,2025-02-22,2025-02-22,0,0.0,food & hospitality,bar/ restaurant,2025
889817,7000,2000,0.0,2025-09-18,5 weeks credit ease,molo,2025-09-19,1436,female,11000.0,2000,1,1300,2025-11-28,2025-11-28,0,5.0,food & hospitality,food kiosks,2016
814745,10000,3850,0.0,2025-04-24,7 weeks credit ease,engineer,2025-06-05,1425,female,10000.0,2500,1,9350,2025-04-24,2025-04-24,0,1.0,personal services,barber shop,2018
911877,12000,4550,0.0,2025-10-23,7 weeks credit ease,engineer,2025-10-11,1424,male,16800.0,2000,1,12800,2025-11-27,2025-11-27,0,5.0,"agriculture, forestry & fishing",farming-crop products (coconuts etc),2019
792866,5000,1500,7500.0,2025-01-16,5 weeks credit ease,engineer,2025-02-20,1423,male,6700.0,20000,1,500,2025-01-16,2025-01-16,0,5.0,food & hospitality,green grocery (fruit/vegetables),2019
853398,3000,1000,0.0,2025-07-30,5 weeks credit ease,molo,2025-07-15,1422,male,4500.0,2500,1,340,2025-11-14,2025-11-14,0,5.0,food & hospitality,food kiosks,2022
790493,5000,1500,0.0,2025-01-18,5 weeks credit ease,engineer,2025-02-15,1415,male,8300.0,2000,1,6500,2025-01-18,2025-01-18,0,0.0,fashion & beauty products,second hand clothes,2016
797198,8000,3150,10921.43,2025-01-30,7 weeks credit ease,engineer,2025-03-20,1409,female,14700.0,2000,1,100,2025-02-07,2025-02-07,0,7.0,fashion & beauty products,cosmetic shop,2018
794550,8000,2250,0.0,2025-10-02,5 weeks credit ease,engineer,2025-02-25,1405,female,18000.0,3500,1,950,2025-03-16,2025-03-16,0,5.0,food & hospitality,retail shop,2019
950943,10000,5500,15500.0,2025-11-27,10 weeks credit ease,engineer,2026-05-02,1403,female,15700.0,2500,1,1980,2025-11-27,2025-11-27,0,9.0,fashion & beauty products,footware shop,2019
950843,10000,2750,12750.0,2025-11-27,5 weeks credit ease,engineer,2026-01-01,1402,male,17100.0,1800,1,710,2025-11-27,2025-11-27,0,5.0,fashion & beauty products,tailoring services,2022
783643,5000,1500,0.0,2025-01-22,5 weeks credit ease,molo,2025-01-22,1389,male,7500.0,1800,1,1300,2025-01-22,2025-01-22,0,4.0,food & hospitality,hawking- mobile merchandize services,2015
823279,7000,2000,0.0,2025-12-05,5 weeks credit ease,molo,2025-12-05,1386,female,14000.0,2000,1,500,2025-11-25,2025-11-25,0,5.0,food & hospitality,meat vendor-butchery,2024
807344,6000,1750,2015.0,2025-02-27,5 weeks credit ease,engineer,2025-03-04,1385,male,8400.0,2500,1,1056,2025-06-02,2025-06-02,0,5.0,food & hospitality,green grocery (fruit/vegetables),2018
779688,5000,1500,0.0,2025-01-13,5 weeks credit ease,engineer,2025-01-13,1377,male,5000.0,3000,1,1300,2025-01-13,2025-01-13,0,4.0,food & hospitality,retail shop,2016
779123,5000,1500,0.0,2025-01-17,5 weeks credit ease,molo,2025-10-01,1376,male,9200.0,2000,1,1270,2025-01-17,2025-01-17,0,4.0,fashion & beauty products,tailoring services,2023
778899,5000,1500,0.0,2024-12-13,5 weeks credit ease,engineer,2025-10-01,1375,male,5000.0,3000,1,6500,2024-12-13,2024-12-13,0,0.0,food & hospitality,green grocery (fruit/vegetables),2018
773660,5000,1500,0.0,2024-12-26,5 weeks credit ease,molo,2024-12-27,1366,female,6000.0,2500,1,1300,2024-12-26,2024-12-26,0,4.0,food & hospitality,food kiosks,2021
823283,8000,2250,5510.0,2025-07-04,5 weeks credit ease,engineer,2025-12-05,1364,male,14400.0,3000,1,300,2025-06-11,2025-06-11,0,5.0,food & hospitality,green grocery (fruit/vegetables),2019
771156,5000,1500,0.0,2024-12-20,5 weeks credit ease,molo,2024-12-21,1359,male,5000.0,2000,1,650,2024-12-20,2024-12-20,0,5.0,natural resources/environmental,firewood & charcoal vendor,2020
883655,4000,1250,0.0,2025-10-09,5 weeks credit ease,molo,2025-09-09,1339,female,5600.0,2000,1,1270,2025-11-28,2025-11-28,0,5.0,food & hospitality,green grocery (fruit/vegetables),2018
933875,5000,1500,1300.0,2025-10-29,5 weeks credit ease,engineer,2025-03-12,1325,female,7000.0,2500,1,430,2025-11-25,2025-11-25,0,5.0,food & hospitality,green grocery (fruit/vegetables),2017
743400,5000,1500,3600.0,2024-10-09,5 weeks credit ease,engineer,2024-10-15,1318,male,6000.0,2000,1,800,2024-10-15,2024-10-15,0,5.0,agriculture,farming-animal products,2023
949471,12000,3250,15250.0,2025-11-25,5 weeks credit ease,molo,2025-12-30,1309,female,108000.0,2000,1,1806,2025-11-24,2025-11-24,0,5.0,food & hospitality,meat vendor-butchery,2025
755969,7000,2000,6630.0,2024-10-10,5 weeks credit ease,engineer,2024-11-14,1304,female,15400.0,3000,1,575,2024-11-02,2024-11-02,0,5.0,food & hospitality,caterer,2018
725268,5000,1500,0.0,2024-08-27,5 weeks credit ease,engineer,2024-02-09,1281,male,8600.0,2000,1,4305,2024-08-27,2024-08-27,0,1.0,fashion & beauty products,second hand clothes,2019
722035,5000,1500,0.0,2024-08-14,5 weeks credit ease,engineer,2024-08-26,1272,male,10000.0,2500,1,5200,2024-08-14,2024-08-14,0,0.0,natural resources/environmental,firewood & charcoal vendor,2012
721940,7000,2000,0.0,2024-12-08,5 weeks credit ease,engineer,2024-08-26,1244,female,9300.0,3000,1,56,2024-10-07,2024-10-07,0,5.0,food & hospitality,retail shop,2018
708685,5000,1500,7500.0,2024-06-18,5 weeks credit ease,engineer,2024-07-23,1229,female,5000.0,2500,1,500,2024-06-18,2024-06-18,0,5.0,food & hospitality,green grocery (fruit/vegetables),2015
708351,8000,2250,0.0,2024-07-24,5 weeks credit ease,molo,2024-07-23,1228,male,28000.0,2500,1,750,2024-07-24,2024-07-24,0,5.0,transportation,motor bike transportation,2018
706566,5000,1500,0.0,2024-12-07,5 weeks credit ease,engineer,2024-07-18,1226,male,10000.0,2000,1,6500,2024-12-16,2024-12-16,0,1.0,food & hospitality,green grocery (fruit/vegetables),2021
948664,5000,1500,5600.0,2025-11-24,5 weeks credit ease,molo,2025-12-29,1203,male,6700.0,2500,1,750,2025-11-29,2025-11-29,0,5.0,fashion & beauty products,second hand clothes,2017
695942,5000,1500,0.0,2024-06-14,5 weeks credit ease,engineer,2024-06-21,1202,male,5700.0,2000,1,3400,2024-06-14,2024-06-14,0,2.0,agriculture,farming-crop products (coconuts etc),2016
694664,5000,1500,0.0,2024-06-20,5 weeks credit ease,molo,2024-06-18,1200,male,7100.0,2000,1,13,2024-06-20,2024-06-20,0,5.0,fashion & beauty products,new clothes,2020
693407,5000,1500,0.0,2024-06-15,5 weeks credit ease,engineer,2024-06-15,1197,male,27000.0,2000,1,1300,2024-06-15,2024-06-15,0,4.0,food & hospitality,meat vendor-butchery,2020
703115,7000,2800,11200.0,2024-05-06,7 weeks credit ease,engineer,2024-07-24,1182,female,11400.0,1800,1,500,2024-06-05,2024-06-05,0,7.0,food & hospitality,food kiosks,2019
687915,5000,1500,0.0,2024-05-27,5 weeks credit ease,engineer,2024-05-31,1176,female,13800.0,2000,1,1800,2024-05-27,2024-05-27,0,4.0,food & hospitality,retail shop,2011
685520,5000,1500,0.0,2024-05-27,5 weeks credit ease,molo,2024-05-27,1173,female,6000.0,3000,1,1300,2024-05-27,2024-05-27,0,4.0,food & hospitality,food kiosks,2018
724775,10000,3850,11288.57,2024-07-27,7 weeks credit ease,engineer,2024-09-14,1171,female,17500.0,1800,1,1590,2024-08-28,2024-08-28,0,7.0,food & hospitality,green grocery (fruit/vegetables),2025
697082,5000,1500,1100.0,2024-05-20,5 weeks credit ease,engineer,2024-06-24,1161,female,13800.0,1500,1,1920,2024-07-22,2024-07-22,0,5.0,personal services,entertainment/party & events planning,2019
713012,5000,1500,2200.0,2024-06-28,5 weeks credit ease,engineer,2024-02-08,1160,female,11200.0,3000,1,1860,2024-08-20,2024-08-20,0,5.0,agriculture,farming-crop products (coconuts etc),2019
680457,5000,1500,0.0,2024-06-05,5 weeks credit ease,engineer,2024-05-14,1157,male,11000.0,2500,1,6500,2024-08-05,2024-08-05,0,5.0,food & hospitality,green grocery (fruit/vegetables),2017
680456,5000,1500,0.0,2024-04-15,5 weeks credit ease,engineer,2024-05-14,1156,male,8000.0,2000,1,6500,2024-04-15,2024-04-15,0,0.0,fashion & beauty products,hawking- mobile merchandize services,2018
677703,5000,1500,0.0,2024-06-27,5 weeks credit ease,molo,2024-07-05,1143,male,18300.0,1800,1,200,2024-06-27,2024-06-27,0,5.0,food & hospitality,food kiosks,2020
757753,5000,1500,2595.0,2024-10-14,5 weeks credit ease,engineer,2024-11-18,1132,male,16200.0,2500,1,2235,2024-11-08,2024-11-08,0,5.0,wholesale & retail trade,green grocery (fruit/vegetables),2013
797507,10000,3850,0.0,2025-03-03,7 weeks credit ease,engineer,2025-03-21,1131,male,12900.0,1800,1,13850,2025-01-31,2025-01-31,0,0.0,fashion & beauty products,tailoring services,2024
675028,5000,1500,0.0,2024-04-29,5 weeks credit ease,engineer,2024-04-29,1126,male,8800.0,1800,1,40,2024-04-29,2024-04-29,0,5.0,hospitality & tourism,bar/ restaurant,2016
674125,7000,2000,0.0,2024-08-04,5 weeks credit ease,engineer,2024-04-25,1104,female,10500.0,2000,1,9000,2024-09-05,2024-09-05,0,4.0,food & hospitality,food kiosks,2018
779621,15000,8000,0.0,2025-12-02,10 weeks credit ease,engineer,2025-02-17,1096,male,15000.0,7000,1,592,2025-05-09,2025-05-09,0,10.0,food & hospitality,green grocery (fruit/vegetables),2021
710954,6000,1750,0.0,2024-07-22,5 weeks credit ease,molo,2024-07-29,1080,male,10000.0,2500,1,1150,2024-08-05,2024-08-05,0,5.0,food & hospitality,green grocery (fruit/vegetables),2015
806648,6000,1750,5300.0,2025-02-25,5 weeks credit ease,molo,2025-01-04,1073,female,6000.0,3500,1,2600,2025-03-17,2025-03-17,0,5.0,food & hospitality,caterer,2017
681717,11000,4200,0.0,2024-05-28,7 weeks credit ease,molo,2024-05-30,1050,female,28600.0,2000,1,2670,2024-05-28,2024-05-28,0,6.0,food & hospitality,green grocery (fruit/vegetables),2023
909037,10000,2750,0.0,2025-10-22,5 weeks credit ease,molo,2025-10-22,1026,male,24000.0,2000,1,60,2025-11-29,2025-11-29,0,5.0,food & hospitality,green grocery (fruit/vegetables),2013
752536,13000,3500,0.0,2025-01-28,5 weeks credit ease,molo,2024-06-11,1021,female,22800.0,2000,1,270,2025-11-21,2025-11-21,0,5.0,"agriculture, forestry & fishing",green grocery (fruit/vegetables),2016
879782,6000,1750,0.0,2025-08-25,5 weeks credit ease,molo,2025-01-09,1011,female,10500.0,3000,1,3010,2025-10-10,2025-10-10,0,5.0,personal services,tailoring services,2024
840897,15000,5600,0.0,2025-06-13,7 weeks credit ease,molo,2025-02-07,993,female,18800.0,7000,1,4582,2025-08-21,2025-08-21,0,7.0,food & hospitality,retail shop,2019
735233,7000,2000,0.0,2024-11-15,5 weeks credit ease,molo,2024-09-26,984,female,14000.0,3000,1,131,2025-11-11,2025-11-11,0,5.0,human health & animal services,agro-vet,2019
891122,10000,2750,0.0,2025-09-15,5 weeks credit ease,molo,2025-09-22,931,male,32500.0,2000,1,2300,2025-11-30,2025-11-30,0,5.0,food & hospitality,bar/ restaurant,2019
821725,10000,2750,0.0,2025-01-05,5 weeks credit ease,molo,2025-08-05,920,female,15700.0,2500,1,150,2025-07-11,2025-07-11,0,5.0,food & hospitality,food kiosks,2024
873985,15000,5600,0.0,2025-03-09,7 weeks credit ease,molo,2025-04-09,770,female,20000.0,20000,1,448,2025-11-30,2025-11-30,0,7.0,food & hospitality,green grocery (fruit/vegetables),2022
757913,5000,1500,0.0,2024-11-11,5 weeks credit ease,molo,2024-11-19,536,female,8000.0,2000,1,981,2025-02-25,2025-02-25,0,5.0,food & hospitality,green grocery (fruit/vegetables),2019
843413,12000,3250,0.0,2025-06-18,5 weeks credit ease,molo,2025-06-23,505,male,20000.0,2000,1,1664,2025-11-30,2025-11-30,0,5.0,manufacturing,green grocery (fruit/vegetables),2018
888754,14000,3750,0.0,2025-09-13,5 weeks credit ease,molo,2025-09-17,484,male,21000.0,2500,1,3120,2025-11-25,2025-11-25,0,5.0,food & hospitality,green grocery (fruit/vegetables),2018
783568,7000,2000,0.0,2025-01-19,5 weeks credit ease,molo,2025-01-22,444,male,12000.0,1500,1,9000,2025-11-07,2025-11-07,0,5.0,hospitality & tourism,food kiosks,2011
832680,25000,9100,0.0,2025-06-14,7 weeks credit ease,molo,2025-06-14,444,female,56200.0,7000,1,1550,2025-11-13,2025-11-13,0,7.0,food & hospitality,meat vendor-butchery,2017
671851,11000,3000,0.0,2024-04-18,5 weeks credit ease,molo,2024-04-19,354,male,99000.0,2000,1,2355,2025-11-30,2025-11-30,0,5.0,food & hospitality,green grocery (fruit/vegetables),2017
720868,10000,3850,0.0,2024-05-09,7 weeks credit ease,molo,2024-05-09,23,male,10000.0,2000,1,264,2025-08-20,2025-08-20,0,7.0,food & hospitality,green grocery (fruit/vegetables),2012
951071,4000,1250,5250.0,2025-11-27,5 weeks credit ease,engineer,2026-01-01,1817,female,7000.0,3000,2,1550,2025-11-27,2025-11-27,0,4.0,food & hospitality,food kiosks,2017
950172,5000,1500,6500.0,2025-11-26,5 weeks credit ease,molo,2025-12-31,1816,female,10000.0,2000,2,3205,2025-11-26,2025-11-26,0,2.0,personal services,farming-animal products,2015
948249,5000,1500,5200.0,2025-11-23,5 weeks credit ease,engineer,2025-12-28,1810,female,8000.0,2500,2,2500,2025-11-23,2025-11-28,0,3.0,fashion & beauty products,second hand clothes,2020
945840,4000,1250,4210.0,2025-11-19,5 weeks credit ease,molo,2025-12-24,1809,female,8000.0,1800,2,3640,2025-11-19,2025-11-26,0,1.0,food & hospitality,food kiosks,2020
945762,5000,1500,5200.0,2025-11-19,5 weeks credit ease,molo,2025-12-24,1808,female,8000.0,2000,2,1300,2025-11-25,2025-11-26,0,4.0,food & hospitality,retail shop,2019
944964,4000,1250,4200.0,2025-11-18,5 weeks credit ease,molo,2025-12-23,1807,female,10000.0,2000,2,1550,2025-11-18,2025-11-24,0,4.0,food & hospitality,green grocery (fruit/vegetables),2023
940840,4000,1250,3150.0,2025-11-11,5 weeks credit ease,molo,2025-12-16,1797,female,5000.0,1500,2,2100,2025-11-17,2025-11-29,0,5.0,wholesale & retail trade,green grocery (fruit/vegetables),2019
934254,4000,1250,0.0,2025-11-20,5 weeks credit ease,engineer,2025-04-12,1783,female,11000.0,3500,2,3400,2025-11-20,2025-11-29,0,1.0,fashion & beauty products,caterer,2016
930820,3000,1000,0.0,2025-11-21,5 weeks credit ease,molo,2025-11-28,1774,female,13000.0,1500,2,850,2025-11-21,2025-11-21,0,4.0,food & hospitality,retail shop,2016
929967,4000,1250,0.0,2025-11-26,5 weeks credit ease,molo,2025-11-27,1770,female,7200.0,1500,2,1550,2025-11-26,2025-11-29,0,4.0,food & hospitality,food kiosks,2019
929889,4000,1250,0.0,2025-11-24,5 weeks credit ease,engineer,2025-11-26,1769,female,11000.0,3000,2,1550,2025-11-24,2025-11-26,0,4.0,food & hospitality,green grocery (fruit/vegetables),2016
929603,5000,1500,0.0,2025-11-23,5 weeks credit ease,molo,2025-11-26,1768,female,13000.0,1500,2,600,2025-11-23,2025-11-28,0,5.0,general hardware & electronics,building & construction materials,2016
928189,4000,1250,0.0,2025-11-20,5 weeks credit ease,molo,2025-11-25,1766,female,13000.0,1500,2,2850,2025-11-20,2025-11-25,0,2.0,food & hospitality,green grocery (fruit/vegetables),2016
926350,5000,1500,0.0,2025-11-16,5 weeks credit ease,molo,2025-11-20,1764,female,13000.0,2000,2,1100,2025-11-16,2025-11-16,0,4.0,food & hospitality,food kiosks,2020
932557,6000,1750,4000.0,2025-10-27,5 weeks credit ease,engineer,2025-01-12,1755,female,11000.0,3000,2,2150,2025-11-14,2025-11-17,0,5.0,agriculture,farming-animal products,2018
